iteration: 108, mu=1000000, J_total_sum2=50.77328346910664
iteration: 109, mu=1000000, J_total_sum2=50.66900409729714
iteration: 110, mu=1000000, J_total_sum2=50.55617664625403
iteration: 111, mu=1000000, J_total_sum2=50.45674124646558
iteration: 112, mu=1000000, J_total_sum2=50.36590580769733
iteration: 113, mu=1000000, J_total_sum2=50.27336025182273
iteration: 114, mu=1000000, J_total_sum2=50.19207518935188
iteration: 115, mu=1000000, J_total_sum2=50.11616928497058
iteration: 116, mu=1000000, J_total_sum2=50.03357095916853
iteration: 117, mu=1000000, J_total_sum2=49.94264082839301
iteration: 118, mu=1000000, J_total_sum2=49.87815855895874
iteration: 119, mu=1000000, J_total_sum2=49.81652776625289
iteration: 120, mu=1000000, J_total_sum2=49.73953839382059
iteration: 121, mu=1000000, J_total_sum2=49.70773458020897
iteration: 122, mu=10000000, J_total_sum2=49.66986286406471
iteration: 123, mu=10000000, J_total_sum2=49.65717913834169
iteration: 124, mu=10000000, J_total_sum2=49.64907321278812
iteration: 125, mu=10000000, J_total_sum2=49.64299503563819
iteration: 126, mu=10000000, J_total_sum2=49.63789318817317
iteration: 127, mu=10000000, J_total_sum2=49.6332872499086
iteration: 128, mu=10000000, J_total_sum2=49.62894217271145
iteration: 129, mu=10000000, J_total_sum2=49.62473833560612
iteration: 130, mu=10000000, J_total_sum2=49.62061317969634
iteration: 131, mu=10000000, J_total_sum2=49.61653337386296
iteration: 132, mu=10000000, J_total_sum2=49.61248094729901
iteration: 133, mu=1000000, J_total_sum2=49.56152658294461
iteration: 134, mu=10000000, J_total_sum2=49.55374297411719
iteration: 135, mu=10000000, J_total_sum2=49.5490532045137
iteration: 136, mu=10000000, J_total_sum2=49.54474059730176
iteration: 137, mu=1000000, J_total_sum2=49.49744828921247
iteration: 138, mu=10000000, J_total_sum2=49.49096807954121
iteration: 139, mu=1000000, J_total_sum2=49.44905146842417
iteration: 140, mu=1000000, J_total_sum2=49.41003066260093
iteration: 141, mu=1000000, J_total_sum2=49.3725095084365
iteration: 142, mu=1000000, J_total_sum2=49.33491925213502
iteration: 143, mu=1000000, J_total_sum2=49.29831633252626
iteration: 144, mu=1000000, J_total_sum2=49.26151724793445
iteration: 145, mu=1000000, J_total_sum2=49.22558284101951
iteration: 146, mu=1000000, J_total_sum2=49.18937943883478
