======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING WIKIPEDIA LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 96, mu=1, R_average=7.14149, R_average2=7.13855

iteration2: 97, mu=1, R_average=7.13855, R_average2=7.1357

iteration2: 98, mu=1, R_average=7.1357, R_average2=7.13295

iteration2: 99, mu=1, R_average=7.13295, R_average2=7.13028

iteration2: 100, mu=1, R_average=7.13028, R_average2=7.12769

iteration2: 101, mu=1, R_average=7.12769, R_average2=7.12518

iteration2: 102, mu=1, R_average=7.12518, R_average2=7.12275

iteration2: 103, mu=1, R_average=7.12275, R_average2=7.1204

iteration2: 104, mu=1, R_average=7.1204, R_average2=7.11812

iteration2: 105, mu=1, R_average=7.11812, R_average2=7.11591

iteration2: 106, mu=1, R_average=7.11591, R_average2=7.11376

iteration2: 107, mu=1, R_average=7.11376, R_average2=7.11169

iteration2: 108, mu=1, R_average=7.11169, R_average2=7.10967

iteration2: 109, mu=1, R_average=7.10967, R_average2=7.10772

iteration2: 110, mu=1, R_average=7.10772, R_average2=7.10583

iteration2: 111, mu=1, R_average=7.10583, R_average2=7.10399

iteration2: 112, mu=1, R_average=7.10399, R_average2=7.10221

iteration2: 113, mu=1, R_average=7.10221, R_average2=7.10049

iteration2: 114, mu=1, R_average=7.10049, R_average2=7.09881

iteration2: 115, mu=1, R_average=7.09881, R_average2=7.09719

iteration2: 116, mu=1, R_average=7.09719, R_average2=7.09562

iteration2: 117, mu=1, R_average=7.09562, R_average2=7.0941

iteration2: 118, mu=1, R_average=7.0941, R_average2=7.09262

iteration2: 119, mu=1, R_average=7.09262, R_average2=7.09119

iteration2: 120, mu=1, R_average=7.09119, R_average2=7.0898

iteration2: 121, mu=1, R_average=7.0898, R_average2=7.08845

iteration2: 122, mu=1, R_average=7.08845, R_average2=7.08715

iteration2: 123, mu=1, R_average=7.08715, R_average2=7.08588

iteration2: 124, mu=1, R_average=7.08588, R_average2=7.08466

iteration2: 125, mu=1, R_average=7.08466, R_average2=7.08347

iteration2: 126, mu=1, R_average=7.08347, R_average2=7.08232

iteration2: 127, mu=1, R_average=7.08232, R_average2=7.0812

iteration2: 128, mu=1, R_average=7.0812, R_average2=7.08011

iteration2: 129, mu=1, R_average=7.08011, R_average2=7.07907

iteration2: 130, mu=1, R_average=7.07907, R_average2=7.07805

iteration2: 131, mu=1, R_average=7.07805, R_average2=7.07706

iteration2: 132, mu=1, R_average=7.07706, R_average2=7.07611

iteration2: 133, mu=1, R_average=7.07611, R_average2=7.07518

iteration2: 134, mu=1, R_average=7.07518, R_average2=7.07428

iteration2: 135, mu=1, R_average=7.07428, R_average2=7.07342

iteration2: 136, mu=1, R_average=7.07342, R_average2=7.07257

iteration2: 137, mu=1, R_average=7.07257, R_average2=7.07176

iteration2: 138, mu=1, R_average=7.07176, R_average2=7.07097

iteration2: 139, mu=1, R_average=7.07097, R_average2=7.0702

iteration2: 140, mu=1, R_average=7.0702, R_average2=7.06946

iteration2: 141, mu=1, R_average=7.06946, R_average2=7.06874

iteration2: 142, mu=1, R_average=7.06874, R_average2=7.06805

iteration2: 143, mu=1, R_average=7.06805, R_average2=7.06738

iteration2: 144, mu=1, R_average=7.06738, R_average2=7.06673

iteration2: 145, mu=1, R_average=7.06673, R_average2=7.0661

iteration2: 146, mu=1, R_average=7.0661, R_average2=7.06549

iteration2: 147, mu=1, R_average=7.06549, R_average2=7.0649

iteration2: 148, mu=1, R_average=7.0649, R_average2=7.06433

iteration2: 149, mu=1, R_average=7.06433, R_average2=7.06377

iteration2: 150, mu=1, R_average=7.06377, R_average2=7.06324

iteration2: 151, mu=1, R_average=7.06324, R_average2=7.06272

iteration2: 152, mu=1, R_average=7.06272, R_average2=7.06222

iteration2: 153, mu=1, R_average=7.06222, R_average2=7.06174

iteration2: 154, mu=1, R_average=7.06174, R_average2=7.06127

iteration2: 155, mu=1, R_average=7.06127, R_average2=7.06082

iteration2: 156, mu=1, R_average=7.06082, R_average2=7.06039

iteration2: 157, mu=1, R_average=7.06039, R_average2=7.05997

iteration2: 158, mu=1, R_average=7.05997, R_average2=7.05956

iteration2: 159, mu=1, R_average=7.05956, R_average2=7.05917

iteration2: 160, mu=1, R_average=7.05917, R_average2=7.05879

iteration2: 161, mu=1, R_average=7.05879, R_average2=7.05843

iteration2: 162, mu=1, R_average=7.05843, R_average2=7.05807

iteration2: 163, mu=1, R_average=7.05807, R_average2=7.05773

iteration2: 164, mu=1, R_average=7.05773, R_average2=7.05741

iteration2: 165, mu=1, R_average=7.05741, R_average2=7.05709

iteration2: 166, mu=1, R_average=7.05709, R_average2=7.05679

iteration2: 167, mu=1, R_average=7.05679, R_average2=7.05649

iteration2: 168, mu=1, R_average=7.05649, R_average2=7.05621

iteration2: 169, mu=1, R_average=7.05621, R_average2=7.05594

iteration2: 170, mu=1, R_average=7.05594, R_average2=7.05568

iteration2: 171, mu=1, R_average=7.05568, R_average2=7.05543

iteration2: 172, mu=1, R_average=7.05543, R_average2=7.05518

iteration2: 173, mu=1, R_average=7.05518, R_average2=7.05495

iteration2: 174, mu=1, R_average=7.05495, R_average2=7.05473

iteration2: 175, mu=1, R_average=7.05473, R_average2=7.05452

iteration2: 176, mu=1, R_average=7.05452, R_average2=7.05431

iteration2: 177, mu=1, R_average=7.05431, R_average2=7.05411

iteration2: 178, mu=1, R_average=7.05411, R_average2=7.05392

iteration2: 179, mu=1, R_average=7.05392, R_average2=7.05374

iteration2: 180, mu=1, R_average=7.05374, R_average2=7.05357

iteration2: 181, mu=1, R_average=7.05357, R_average2=7.0534

iteration2: 182, mu=1, R_average=7.0534, R_average2=7.05325

iteration2: 183, mu=1, R_average=7.05325, R_average2=7.05309

iteration2: 184, mu=1, R_average=7.05309, R_average2=7.05295

iteration2: 185, mu=1, R_average=7.05295, R_average2=7.05281

iteration2: 186, mu=1, R_average=7.05281, R_average2=7.05268

iteration2: 187, mu=1, R_average=7.05268, R_average2=7.05256

iteration2: 188, mu=1, R_average=7.05256, R_average2=7.05244

iteration2: 189, mu=1, R_average=7.05244, R_average2=7.05232

iteration2: 190, mu=1, R_average=7.05232, R_average2=7.05222

iteration2: 191, mu=1, R_average=7.05222, R_average2=7.05212

iteration2: 192, mu=1, R_average=7.05212, R_average2=7.05202

iteration2: 193, mu=1, R_average=7.05202, R_average2=7.05193

iteration2: 194, mu=1, R_average=7.05193, R_average2=7.05184

iteration2: 195, mu=1, R_average=7.05184, R_average2=7.05176

iteration2: 196, mu=1, R_average=7.05176, R_average2=7.05169

iteration2: 197, mu=1, R_average=7.05169, R_average2=7.05162

iteration2: 198, mu=1, R_average=7.05162, R_average2=7.05155

iteration2: 199, mu=1, R_average=7.05155, R_average2=7.05149

iteration2: 200, mu=1, R_average=7.05149, R_average2=7.05143

iteration2: 201, mu=1, R_average=7.05143, R_average2=7.05138

iteration2: 202, mu=1, R_average=7.05138, R_average2=7.05133

iteration2: 203, mu=1, R_average=7.05133, R_average2=7.05128

iteration2: 204, mu=1, R_average=7.05128, R_average2=7.05124

iteration2: 205, mu=1, R_average=7.05124, R_average2=7.0512

iteration2: 206, mu=1, R_average=7.0512, R_average2=7.05117

iteration2: 207, mu=1, R_average=7.05117, R_average2=7.05114

iteration2: 208, mu=1, R_average=7.05114, R_average2=7.05111

iteration2: 209, mu=1, R_average=7.05111, R_average2=7.05109

iteration2: 210, mu=1, R_average=7.05109, R_average2=7.05106

iteration2: 211, mu=1, R_average=7.05106, R_average2=7.05105

iteration2: 212, mu=1, R_average=7.05105, R_average2=7.05103

iteration2: 213, mu=1, R_average=7.05103, R_average2=7.05102

iteration2: 214, mu=1, R_average=7.05102, R_average2=7.05101

iteration2: 215, mu=1, R_average=7.05101, R_average2=7.051

iteration2: 216, mu=1, R_average=7.051, R_average2=7.051

iteration2: 217, mu=1, R_average=7.051, R_average2=7.051

iteration2: 218, mu=10, R_average=7.051, R_average2=6.6741

iteration2: 219, mu=10, R_average=6.6741, R_average2=6.49634

iteration2: 220, mu=10, R_average=6.49634, R_average2=6.35171

iteration2: 221, mu=10, R_average=6.35171, R_average2=6.23355

iteration2: 222, mu=10, R_average=6.23355, R_average2=6.13718

iteration2: 223, mu=10, R_average=6.13718, R_average2=6.05862

iteration2: 224, mu=10, R_average=6.05862, R_average2=5.99456

iteration2: 225, mu=10, R_average=5.99456, R_average2=5.94228

iteration2: 226, mu=10, R_average=5.94228, R_average2=5.89954

iteration2: 227, mu=10, R_average=5.89954, R_average2=5.86453

iteration2: 228, mu=10, R_average=5.86453, R_average2=5.83578

iteration2: 229, mu=10, R_average=5.83578, R_average2=5.81211

iteration2: 230, mu=10, R_average=5.81211, R_average2=5.79256

iteration2: 231, mu=10, R_average=5.79256, R_average2=5.77636

iteration2: 232, mu=10, R_average=5.77636, R_average2=5.76289

iteration2: 233, mu=10, R_average=5.76289, R_average2=5.75165

iteration2: 234, mu=10, R_average=5.75165, R_average2=5.74223
