======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING SAME RSS LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 97, mu=10, R_average=2.6889, R_average2=2.68877

iteration2: 98, mu=10, R_average=2.68877, R_average2=2.68866

iteration2: 99, mu=10, R_average=2.68866, R_average2=2.68856

iteration2: 100, mu=10, R_average=2.68856, R_average2=2.68848

iteration2: 101, mu=10, R_average=2.68848, R_average2=2.68842

iteration2: 102, mu=10, R_average=2.68842, R_average2=2.68836

iteration2: 103, mu=10, R_average=2.68836, R_average2=2.68832

iteration2: 104, mu=10, R_average=2.68832, R_average2=2.68829

iteration2: 105, mu=10, R_average=2.68829, R_average2=2.68826

iteration2: 106, mu=10, R_average=2.68826, R_average2=2.68825

iteration2: 107, mu=10, R_average=2.68825, R_average2=2.68824

iteration2: 108, mu=100, R_average=2.68824, R_average2=2.68752

iteration2: 109, mu=100, R_average=2.68752, R_average2=2.68745

iteration2: 110, mu=100, R_average=2.68745, R_average2=2.68742

iteration2: 111, mu=100, R_average=2.68742, R_average2=2.6874

iteration2: 112, mu=100, R_average=2.6874, R_average2=2.68738

iteration2: 113, mu=100, R_average=2.68738, R_average2=2.68736

iteration2: 114, mu=100, R_average=2.68736, R_average2=2.68735

iteration2: 115, mu=100, R_average=2.68735, R_average2=2.68733

iteration2: 116, mu=100, R_average=2.68733, R_average2=2.68731

iteration2: 117, mu=100, R_average=2.68731, R_average2=2.68729

iteration2: 118, mu=100, R_average=2.68729, R_average2=2.68728

iteration2: 119, mu=100, R_average=2.68728, R_average2=2.68726

iteration2: 120, mu=100, R_average=2.68726, R_average2=2.68725

iteration2: 121, mu=100, R_average=2.68725, R_average2=2.68723

iteration2: 122, mu=100, R_average=2.68723, R_average2=2.68722

iteration2: 123, mu=100, R_average=2.68722, R_average2=2.6872

iteration2: 124, mu=100, R_average=2.6872, R_average2=2.68719

iteration2: 125, mu=100, R_average=2.68719, R_average2=2.68718

iteration2: 126, mu=100, R_average=2.68718, R_average2=2.68716

iteration2: 127, mu=100, R_average=2.68716, R_average2=2.68715

iteration2: 128, mu=100, R_average=2.68715, R_average2=2.68714

iteration2: 129, mu=100, R_average=2.68714, R_average2=2.68713

iteration2: 130, mu=100, R_average=2.68713, R_average2=2.68711

iteration2: 131, mu=100, R_average=2.68711, R_average2=2.6871

iteration2: 132, mu=100, R_average=2.6871, R_average2=2.68709

iteration2: 133, mu=100, R_average=2.68709, R_average2=2.68708

iteration2: 134, mu=100, R_average=2.68708, R_average2=2.68707

iteration2: 135, mu=100, R_average=2.68707, R_average2=2.68706

iteration2: 136, mu=100, R_average=2.68706, R_average2=2.68705

iteration2: 137, mu=100, R_average=2.68705, R_average2=2.68704

iteration2: 138, mu=100, R_average=2.68704, R_average2=2.68703

iteration2: 139, mu=100, R_average=2.68703, R_average2=2.68702

iteration2: 140, mu=100, R_average=2.68702, R_average2=2.68702

iteration2: 141, mu=100, R_average=2.68702, R_average2=2.68701

iteration2: 142, mu=100, R_average=2.68701, R_average2=2.687

iteration2: 143, mu=100, R_average=2.687, R_average2=2.68699

iteration2: 144, mu=100, R_average=2.68699, R_average2=2.68698

iteration2: 145, mu=100, R_average=2.68698, R_average2=2.68698

iteration2: 146, mu=100, R_average=2.68698, R_average2=2.68697

iteration2: 147, mu=100, R_average=2.68697, R_average2=2.68696

iteration2: 148, mu=100, R_average=2.68696, R_average2=2.68696

iteration2: 149, mu=100, R_average=2.68696, R_average2=2.68695

iteration2: 150, mu=100, R_average=2.68695, R_average2=2.68694

iteration2: 151, mu=100, R_average=2.68694, R_average2=2.68694

iteration2: 152, mu=100, R_average=2.68694, R_average2=2.68693

iteration2: 153, mu=100, R_average=2.68693, R_average2=2.68693

iteration2: 154, mu=100, R_average=2.68693, R_average2=2.68692

iteration2: 155, mu=100, R_average=2.68692, R_average2=2.68692

iteration2: 156, mu=100, R_average=2.68692, R_average2=2.68691

iteration2: 157, mu=100, R_average=2.68691, R_average2=2.68691

iteration2: 158, mu=100, R_average=2.68691, R_average2=2.6869

iteration2: 159, mu=100, R_average=2.6869, R_average2=2.6869

iteration2: 160, mu=100, R_average=2.6869, R_average2=2.6869

iteration2: 161, mu=100, R_average=2.6869, R_average2=2.68689

iteration2: 162, mu=100, R_average=2.68689, R_average2=2.68689

iteration2: 163, mu=100, R_average=2.68689, R_average2=2.68689

iteration2: 164, mu=100, R_average=2.68689, R_average2=2.68688

iteration2: 165, mu=100, R_average=2.68688, R_average2=2.68688

iteration2: 166, mu=100, R_average=2.68688, R_average2=2.68688

iteration2: 167, mu=100, R_average=2.68688, R_average2=2.68688

iteration2: 168, mu=100, R_average=2.68688, R_average2=2.68687

iteration2: 169, mu=100, R_average=2.68687, R_average2=2.68687

iteration2: 170, mu=100, R_average=2.68687, R_average2=2.68687

iteration2: 171, mu=100, R_average=2.68687, R_average2=2.68687

iteration2: 172, mu=100, R_average=2.68687, R_average2=2.68687

iteration2: 173, mu=100, R_average=2.68687, R_average2=2.68687

iteration2: 174, mu=100, R_average=2.68687, R_average2=2.68686

iteration2: 175, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 176, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 177, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 178, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 179, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 180, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 181, mu=100, R_average=2.68686, R_average2=2.68686

iteration2: 182, mu=1000, R_average=2.68686, R_average2=2.68686

iteration2: 183, mu=1000, R_average=2.68686, R_average2=2.68685

iteration2: 184, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 185, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 186, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 187, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 188, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 189, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 190, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 191, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 192, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 193, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 194, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 195, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 196, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 197, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 198, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 199, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 200, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 201, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 202, mu=1000, R_average=2.68685, R_average2=2.68685

iteration2: 203, mu=1000, R_average=2.68685, R_average2=2.68685

